BATCH 19 55-60#,,,
Shaft#,Spine A (lb),Spine B (lb),Weight (g)
19-01,56,55,23.23
19-02,58,58,24.7
19-03,52,52,22.19
19-04,55,55,24.03
19-05,56,56,21.93
19-06,55,55,23.85
19-07,52,52,21.59
19-08,53,53,21.54
19-09,50,50,22.67
19-10,56,56,24.67
19-11,52,52,23.14
19-12,58,57,24.3
19-13,53,53,21.49
19-14,55.5,55.5,23.4
19-15,56,56,23.44
19-16,56,56,21.93
19-17,57,56,25.22
19-18,52,52,21.66
19-19,56,55,21.7
19-20,55,55,22.98
19-21,56,56,25.62
19-22,55.5,55.5,23.25
19-23,55,55,25.09
19-24,59,59,23.29
19-25,58,57,24.15
19-26,51,51,25.82
19-27,59,59,26.03
19-28,54,54,23.49
19-29,58,58,26.76
19-30,59,58,25.48
19-31,56,55,25.52
19-32,57,57,22.86
19-33,58,58,23.24
19-34,56,56,22.34
19-35,54,54,23.47
19-36,57,57,23.44
19-37,59,59,23.96
19-38,53,53,23.76
19-39,55,55,21.18
19-40,52,52,23.46
19-41,53,53,22.5
19-42,55.5,55.5,25.88
19-43,55,54,23.38
19-44,53,53,21.81
19-45,55,55,23.85
19-46,57,56,24.12
19-47,58,58,24.94
19-48,52,52,23.02
19-49,55,55,25.9
19-50,56,56,25.15
