BATCH 20 55-60#,,,,,,
Shaft#,Spine A (lb),Spine B (lb),Weight (g),,,
20-01,56,55,22.76,,,
20-02,53,53,23.03,,,
20-03,55,55,23.97,,,
20-04,58,58,23.56,,,
20-05,56,56,22.26,,,
20-06,56,56,22.35,,,
20-07,56,56,23.35,,,
20-08,57,57,23.73,,,
20-09,56,56,25.21,,,
20-10,56,56,24.35,,,
20-11,55,55,24.56,,,
20-12,55,55,22.45,,,
20-13,55,55,25.5,,,
20-14,53,53,23.12,,,
20-15,57,57,23.64,,,
20-16,55,55,23.71,,,
20-17,53,53,22.75,,,~
20-18,56,56,25.13,,,
20-19,58,58,21.8,,,
20-20,53,52,22.31,,,
20-21,55,55,23.94,,,
20-22,56,56,22.44,,,
20-23,55,55,23.82,,,
20-24,59,58,24.48,,,
20-25,56,56,24.35,,,
20-26,55,55,23.1,,,
20-27,56,55,21.5,,,
20-28,55,55,24.34,,,
20-29,55,55,25.35,,,
20-30,55,55,22.97,,,
20-31,53,53,22.06,,,
20-32,53,52,24.46,,,
20-33,55,55,23.77,,,
20-34,59,58,25.22,,,
20-35,56,56,23.89,,,
20-36,55,55,22.62,,,
20-37,55,54,21.46,,,
20-38,58,58,23,,,
20-39,52,51,22.36,,,
20-40,51,51,21.79,,,
20-41,58,58,26.09,,,
20-42,52,52,23.78,,,
20-43,53,53,25.3,,,
20-44,55,55,23.85,,,
20-45,56,55,23.94,,,
20-46,58,58,24.46,,,
20-47,54,53,21.7,,,
20-48,58,57,25.26,,,
20-49,54,53,24,,,
20-50,58,56,24.41,,,
